-5000   2.04    1.02   1.01   2.03
-4500   2.01    1.04   1.02   2.02
-4000   2.03    2.05   1.01   2.04
-3500   2.04    2.01   1.04   2.04
-3000   2.01    3.04   1.03   2.04
-2500   2.04    3.01   1.03   2.01
-2000   2.01    4.051  1.05   2.02
-1500   2.03    4.022  1.04   2.02
-1000   2.01    5.034  1.05   2.01
-500    2.06    5.024  1.05   2.02
0       2.01    6.022  1.02   2.03
500     2.04    6.052  2.06   4.02
1000    2.03    7.02   2.06   4.02
1500    4.01    7.041  2.02   4.06
2000    4.01    8.091  2.03   4.04
2500    4.04    8.023  2.02   4.06
3000    4.01    9.092  2.05   4.03
3500    4.01    9.049  2.03   4.04
4000    4.04    10.083 2.03   4.02
4500    4.01    10.081 2.05   4.04
5000    4.02    11.201 2.05   4.05
