-5000   5.03    0.125   0.24    0.25
-4500   5.04    0.591   0.601   0.602
-4000   5.09    1.092   1.082   1.091
-3500   5.01    1.901   1.59    1.62
-3000   5.07    2.103   2.159   2.130
-2500   5.1     2.602   2.596   2.721
-2000   5.03    3.105   3.159   3.401
-1500   5.06    3.902   3.76    3.59
-1000   5.01    4.103   4.201   4.109
-500    5.05    5.621   4.720   4.82
0       5.02    5.524   5.091   5.299
500     5.524   5.682   5.891   5.601
1000    6.01    6.193   6.166   6.201
1500    6.517   6.921   6.673   6.598
2000    7.014   7.210   7.103   7.302
2500    7.511   7.712   7.801   7.711
3000    8.091   8.192   9.301   8.203
3500    8.501   8.749   8.801   8.679
4000    9.023   9.183   9.129   9.131
4500    9.505   9.681   9.812   9.795
5000    10.011  10.201  10.341  10.351
